	 DWIA + Delta + pion modifications 
   110.00  0.1347E-01  0.2700E-02  -.9925E-02  -.5250E-03    7.5164
   115.00  0.9306E-02  0.2023E-02  -.6197E-02  -.3237E-03    7.9576
   120.00  0.6635E-02  0.1682E-02  -.3864E-02  -.1488E-03    8.3812
   125.00  0.4965E-02  0.1554E-02  -.2440E-02  -.4388E-05    8.7840
   130.00  0.3816E-02  0.1533E-02  -.1530E-02  0.1150E-03    9.1629
   135.00  0.3022E-02  0.1573E-02  -.9554E-03  0.2043E-03    9.5150
   140.00  0.2476E-02  0.1644E-02  -.5968E-03  0.2619E-03    9.8376
   145.00  0.2071E-02  0.1720E-02  -.3679E-03  0.2909E-03   10.1283
   150.00  0.1783E-02  0.1785E-02  -.2227E-03  0.2937E-03   10.3849
   155.00  0.1576E-02  0.1831E-02  -.1296E-03  0.2766E-03   10.6054
   160.00  0.1416E-02  0.1864E-02  -.6934E-04  0.2416E-03   10.7882
   165.00  0.1302E-02  0.1894E-02  -.3266E-04  0.1938E-03   10.9318
   170.00  0.1231E-02  0.1925E-02  -.1232E-04  0.1357E-03   11.0352
   175.00  0.1187E-02  0.1951E-02  -.2713E-05  0.6992E-04   11.0975


 EGEQ(LAB)= 355.00   EG*(LAB)= 363.88 MEV   QI=381.66 MEV   QF=288.31 MEV
 W3He(MEV)=3149.868   EG*(CM)= 309.301   EPI(CM)= 320.331   Q2GEV=   0.050
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.7529E+01  0.6479E+01  -.4067E-08  -.1281E-04    0.2238
     5.00  0.7247E+01  0.6207E+01  -.2869E+00  -.1621E+00    0.2453
    10.00  0.6576E+01  0.5376E+01  -.9246E+00  -.5129E+00    0.3097
    15.00  0.5870E+01  0.4155E+01  -.1524E+01  -.9204E+00    0.4164
    20.00  0.5250E+01  0.2841E+01  -.1882E+01  -.1145E+01    0.5646
    25.00  0.4674E+01  0.1727E+01  -.2001E+01  -.1116E+01    0.7533
    30.00  0.4074E+01  0.9394E+00  -.1951E+01  -.9170E+00    0.9810
    35.00  0.3443E+01  0.4652E+00  -.1795E+01  -.6683E+00    1.2459
    40.00  0.2803E+01  0.2174E+00  -.1574E+01  -.4458E+00    1.5461
    45.00  0.2188E+01  0.1061E+00  -.1316E+01  -.2779E+00    1.8792
    50.00  0.1635E+01  0.6486E-01  -.1047E+01  -.1646E+00    2.2427
    55.00  0.1184E+01  0.5329E-01  -.8023E+00  -.9522E-01    2.6339
    60.00  0.8312E+00  0.4983E-01  -.5934E+00  -.5441E-01    3.0497
    65.00  0.5626E+00  0.4600E-01  -.4205E+00  -.3079E-01    3.4871
    70.00  0.3722E+00  0.4009E-01  -.2894E+00  -.1759E-01    3.9426
    75.00  0.2410E+00  0.3265E-01  -.1938E+00  -.1018E-01    4.4129
    80.00  0.1543E+00  0.2502E-01  -.1275E+00  -.6038E-02    4.8942
    85.00  0.9765E-01  0.1815E-01  -.8219E-01  -.3670E-02    5.3831
    90.00  0.6132E-01  0.1257E-01  -.5206E-01  -.2295E-02    5.8757
    95.00  0.3887E-01  0.8447E-02  -.3284E-01  -.1490E-02    6.3683
   100.00  0.2494E-01  0.5581E-02  -.2061E-01  -.9879E-03    6.8571
   105.00  0.1620E-01  0.3703E-02  -.1281E-01  -.6470E-03    7.3385
   110.00  0.1080E-01  0.2569E-02  -.7962E-02  -.3989E-03    7.8087
   115.00  0.7457E-02  0.1950E-02  -.4970E-02  -.2052E-03    8.2643
   120.00  0.5334E-02  0.1658E-02  -.3112E-02  -.4615E-04    8.7016
   125.00  0.3941E-02  0.1557E-02  -.1948E-02  0.8516E-04    9.1175
   130.00  0.3017E-02  0.1562E-02  -.1221E-02  0.1876E-03    9.5086
   135.00  0.2394E-02  0.1621E-02  -.7677E-03  0.2604E-03    9.8722
   140.00  0.1935E-02  0.1702E-02  -.4777E-03  0.3053E-03   10.2053
   145.00  0.1625E-02  0.1784E-02  -.2973E-03  0.3213E-03   10.5054
   150.00  0.1386E-02  0.1851E-02  -.1804E-03  0.3169E-03   10.7703
   155.00  0.1214E-02  0.1898E-02  -.1048E-03  0.2919E-03   10.9980
   160.00  0.1094E-02  0.1931E-02  -.5628E-04  0.2520E-03   11.1867
   165.00  0.1003E-02  0.1959E-02  -.2634E-04  0.2002E-03   11.3350
   170.00  0.9380E-03  0.1988E-02  -.9770E-05  0.1392E-03   11.4417
   175.00  0.8986E-03  0.2012E-02  -.2118E-05  0.7140E-04   11.5060


 EGEQ(LAB)= 355.00   EG*(LAB)= 365.66 MEV   QI=393.30 MEV   QF=288.31 MEV
 W3He(MEV)=3149.868   EG*(CM)= 307.714   EPI(CM)= 320.331   Q2GEV=   0.060
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.6780E+01  0.6861E+01  -.3264E-08  -.3486E-04    0.2831
     5.00  0.6555E+01  0.6519E+01  -.2315E+00  -.3273E+00    0.3053
    10.00  0.6030E+01  0.5571E+01  -.7600E+00  -.7270E+00    0.3716
    15.00  0.5430E+01  0.4230E+01  -.1279E+01  -.1077E+01    0.4815
    20.00  0.4871E+01  0.2853E+01  -.1615E+01  -.1220E+01    0.6343
    25.00  0.4330E+01  0.1718E+01  -.1752E+01  -.1134E+01    0.8288
    30.00  0.3763E+01  0.9314E+00  -.1735E+01  -.9097E+00    1.0634
    35.00  0.3166E+01  0.4623E+00  -.1611E+01  -.6554E+00    1.3364
    40.00  0.2562E+01  0.2186E+00  -.1417E+01  -.4354E+00    1.6457
    45.00  0.1985E+01  0.1095E+00  -.1182E+01  -.2721E+00    1.9890
    50.00  0.1480E+01  0.6929E-01  -.9403E+00  -.1637E+00    2.3636
    55.00  0.1064E+01  0.5701E-01  -.7168E+00  -.9643E-01    2.7667
    60.00  0.7382E+00  0.5230E-01  -.5239E+00  -.5610E-01    3.1952
    65.00  0.4945E+00  0.4734E-01  -.3672E+00  -.3249E-01    3.6459
    70.00  0.3261E+00  0.4061E-01  -.2518E+00  -.1906E-01    4.1153
    75.00  0.2097E+00  0.3261E-01  -.1674E+00  -.1119E-01    4.5999
    80.00  0.1326E+00  0.2462E-01  -.1087E+00  -.6603E-02    5.0960
    85.00  0.8265E-01  0.1759E-01  -.6910E-01  -.3916E-02    5.5997
    90.00  0.5144E-01  0.1204E-01  -.4341E-01  -.2356E-02    6.1073
    95.00  0.3232E-01  0.7989E-02  -.2717E-01  -.1444E-02    6.6150
   100.00  0.2049E-01  0.5215E-02  -.1687E-01  -.8886E-03    7.1187
   105.00  0.1321E-01  0.3437E-02  -.1042E-01  -.5330E-03    7.6148
   110.00  0.8730E-02  0.2384E-02  -.6429E-02  -.2877E-03    8.0993
   115.00  0.5956E-02  0.1823E-02  -.3976E-02  -.1052E-03    8.5688
   120.00  0.4214E-02  0.1575E-02  -.2472E-02  0.3759E-04    9.0195
   125.00  0.3120E-02  0.1513E-02  -.1555E-02  0.1489E-03    9.4480
   130.00  0.2383E-02  0.1541E-02  -.9780E-03  0.2342E-03    9.8511
   135.00  0.1864E-02  0.1612E-02  -.6122E-03  0.2936E-03   10.2257
   140.00  0.1522E-02  0.1701E-02  -.3873E-03  0.3304E-03   10.5690
   145.00  0.1252E-02  0.1783E-02  -.2395E-03  0.3350E-03   10.8783
   150.00  0.1072E-02  0.1850E-02  -.1465E-03  0.3225E-03   11.1513
   155.00  0.9323E-03  0.1895E-02  -.8530E-04  0.2936E-03   11.3859
   160.00  0.8262E-03  0.1927E-02  -.4571E-04  0.2512E-03   11.5803
   165.00  0.7575E-03  0.1952E-02  -.2148E-04  0.1982E-03   11.7331
   170.00  0.7082E-03  0.1977E-02  -.8001E-05  0.1370E-03   11.8431
   175.00  0.6780E-03  0.1998E-02  -.1741E-05  0.7007E-04   11.9094


 EGEQ(LAB)= 355.00   EG*(LAB)= 367.43 MEV   QI=404.62 MEV   QF=288.31 MEV
 W3He(MEV)=3149.868   EG*(CM)= 306.126   EPI(CM)= 320.331   Q2GEV=   0.070
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.6100E+01  0.6944E+01  -.2643E-08  -.4922E-04    0.3474
     5.00  0.5925E+01  0.6571E+01  -.1886E+00  -.4342E+00    0.3702
    10.00  0.5491E+01  0.5542E+01  -.6274E+00  -.8568E+00    0.4384
    15.00  0.4988E+01  0.4164E+01  -.1078E+01  -.1161E+01    0.5515
    20.00  0.4492E+01  0.2786E+01  -.1391E+01  -.1245E+01    0.7087
    25.00  0.3991E+01  0.1670E+01  -.1537E+01  -.1121E+01    0.9088
    30.00  0.3459E+01  0.9046E+00  -.1542E+01  -.8847E+00    1.1501
    35.00  0.2895E+01  0.4501E+00  -.1441E+01  -.6317E+00    1.4310
    40.00  0.2336E+01  0.2162E+00  -.1273E+01  -.4198E+00    1.7492
    45.00  0.1802E+01  0.1111E+00  -.1062E+01  -.2638E+00    2.1023
    50.00  0.1332E+01  0.7144E-01  -.8394E+00  -.1599E+00    2.4877
    55.00  0.9510E+00  0.5858E-01  -.6361E+00  -.9548E-01    2.9024
    60.00  0.6560E+00  0.5293E-01  -.4623E+00  -.5657E-01    3.3433
    65.00  0.4375E+00  0.4714E-01  -.3225E+00  -.3339E-01    3.8069
    70.00  0.2847E+00  0.3975E-01  -.2182E+00  -.1971E-01    4.2898
    75.00  0.1807E+00  0.3145E-01  -.1432E+00  -.1157E-01    4.7883
    80.00  0.1128E+00  0.2343E-01  -.9185E-01  -.6765E-02    5.2987
    85.00  0.6962E-01  0.1654E-01  -.5779E-01  -.3938E-02    5.8169
    90.00  0.4310E-01  0.1119E-01  -.3613E-01  -.2298E-02    6.3391
    95.00  0.2683E-01  0.7338E-02  -.2243E-01  -.1339E-02    6.8613
   100.00  0.1680E-01  0.4726E-02  -.1377E-01  -.7669E-03    7.3796
   105.00  0.1071E-01  0.3084E-02  -.8429E-02  -.4151E-03    7.8899
   110.00  0.7011E-02  0.2134E-02  -.5164E-02  -.1844E-03    8.3884
   115.00  0.4801E-02  0.1661E-02  -.3212E-02  -.2377E-04    8.8714
   120.00  0.3404E-02  0.1467E-02  -.2007E-02  0.9859E-04    9.3350
   125.00  0.2495E-02  0.1431E-02  -.1259E-02  0.1934E-03    9.7759
   130.00  0.1892E-02  0.1476E-02  -.7929E-03  0.2634E-03   10.1906
   135.00  0.1494E-02  0.1559E-02  -.5047E-03  0.3123E-03   10.5759
   140.00  0.1194E-02  0.1648E-02  -.3174E-03  0.3326E-03   10.9291
   145.00  0.9911E-03  0.1730E-02  -.1994E-03  0.3340E-03   11.2473
   150.00  0.8302E-03  0.1793E-02  -.1218E-03  0.3177E-03   11.5281
   155.00  0.7202E-03  0.1835E-02  -.7133E-04  0.2864E-03   11.7695
   160.00  0.6371E-03  0.1863E-02  -.3843E-04  0.2434E-03   11.9695
   165.00  0.5745E-03  0.1886E-02  -.1808E-04  0.1911E-03   12.1267
   170.00  0.5299E-03  0.1908E-02  -.6755E-05  0.1316E-03   12.2399
   175.00  0.5060E-03  0.1926E-02  -.1475E-05  0.6709E-04   12.3081


 EGEQ(LAB)= 355.00   EG*(LAB)= 369.21 MEV   QI=415.62 MEV   QF=288.31 MEV
 W3He(MEV)=3149.868   EG*(CM)= 304.539   EPI(CM)= 320.331   Q2GEV=   0.080
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.5469E+01  0.6777E+01  -.2157E-08  -.5733E-04    0.4163
     5.00  0.5330E+01  0.6394E+01  -.1547E+00  -.4927E+00    0.4397
    10.00  0.4987E+01  0.5369E+01  -.5227E+00  -.9226E+00    0.5098
    15.00  0.4562E+01  0.4005E+01  -.9152E+00  -.1189E+01    0.6260
    20.00  0.4122E+01  0.2667E+01  -.1204E+01  -.1231E+01    0.7874
    25.00  0.3660E+01  0.1593E+01  -.1350E+01  -.1085E+01    0.9929
    30.00  0.3168E+01  0.8649E+00  -.1371E+01  -.8475E+00    1.2408
    35.00  0.2649E+01  0.4343E+00  -.1293E+01  -.6035E+00    1.5293
    40.00  0.2124E+01  0.2110E+00  -.1142E+01  -.4005E+00    1.8562
    45.00  0.1627E+01  0.1103E+00  -.9484E+00  -.2522E+00    2.2190
    50.00  0.1198E+01  0.7203E-01  -.7487E+00  -.1546E+00    2.6148
    55.00  0.8530E+00  0.5880E-01  -.5663E+00  -.9364E-01    3.0408
    60.00  0.5812E+00  0.5216E-01  -.4064E+00  -.5589E-01    3.4937
    65.00  0.3842E+00  0.4570E-01  -.2810E+00  -.3328E-01    3.9699
    70.00  0.2479E+00  0.3801E-01  -.1884E+00  -.1976E-01    4.4660
    75.00  0.1565E+00  0.2974E-01  -.1229E+00  -.1163E-01    4.9781
    80.00  0.9685E-01  0.2192E-01  -.7812E-01  -.6748E-02    5.5023
    85.00  0.5920E-01  0.1531E-01  -.4872E-01  -.3859E-02    6.0346
    90.00  0.3628E-01  0.1024E-01  -.3018E-01  -.2184E-02    6.5710
    95.00  0.2228E-01  0.6630E-02  -.1851E-01  -.1214E-02    7.1075
   100.00  0.1381E-01  0.4225E-02  -.1127E-01  -.6520E-03    7.6398
   105.00  0.8733E-02  0.2738E-02  -.6853E-02  -.3177E-03    8.1640
   110.00  0.5696E-02  0.1901E-02  -.4191E-02  -.1081E-03    8.6761
   115.00  0.3853E-02  0.1491E-02  -.2587E-02  0.3439E-04    9.1722
   120.00  0.2699E-02  0.1336E-02  -.1607E-02  0.1391E-03    9.6484
   125.00  0.1984E-02  0.1330E-02  -.1017E-02  0.2167E-03   10.1013
   130.00  0.1507E-02  0.1390E-02  -.6468E-03  0.2712E-03   10.5273
   135.00  0.1171E-02  0.1475E-02  -.4115E-03  0.3095E-03   10.9231
   140.00  0.9439E-03  0.1564E-02  -.2628E-03  0.3249E-03   11.2859
   145.00  0.7680E-03  0.1641E-02  -.1652E-03  0.3221E-03   11.6128
   150.00  0.6452E-03  0.1700E-02  -.1018E-03  0.3034E-03   11.9013
   155.00  0.5489E-03  0.1739E-02  -.5968E-04  0.2718E-03   12.1492
   160.00  0.4798E-03  0.1764E-02  -.3226E-04  0.2298E-03   12.3547
   165.00  0.4317E-03  0.1782E-02  -.1525E-04  0.1797E-03   12.5161
   170.00  0.3974E-03  0.1800E-02  -.5729E-05  0.1234E-03   12.6323
   175.00  0.3766E-03  0.1815E-02  -.1257E-05  0.6280E-04   12.7024


 EGEQ(LAB)= 355.00   EG*(LAB)= 370.99 MEV   QI=426.36 MEV   QF=288.31 MEV
 W3He(MEV)=3149.868   EG*(CM)= 302.952   EPI(CM)= 320.331   Q2GEV=   0.090
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.4901E+01  0.6463E+01  -.1781E-08  -.6102E-04    0.4894
     5.00  0.4789E+01  0.6085E+01  -.1282E+00  -.5172E+00    0.5134
    10.00  0.4509E+01  0.5085E+01  -.4385E+00  -.9392E+00    0.5853
    15.00  0.4154E+01  0.3781E+01  -.7814E+00  -.1175E+01    0.7045
    20.00  0.3767E+01  0.2513E+01  -.1045E+01  -.1191E+01    0.8702
    25.00  0.3349E+01  0.1503E+01  -.1191E+01  -.1036E+01    1.0809
    30.00  0.2895E+01  0.8184E+00  -.1221E+01  -.8034E+00    1.3353
    35.00  0.2412E+01  0.4136E+00  -.1156E+01  -.5704E+00    1.6312
    40.00  0.1922E+01  0.2028E+00  -.1020E+01  -.3780E+00    1.9665
    45.00  0.1470E+01  0.1084E+00  -.8483E+00  -.2400E+00    2.3386
    50.00  0.1079E+01  0.7150E-01  -.6685E+00  -.1484E+00    2.7447
    55.00  0.7599E+00  0.5762E-01  -.5003E+00  -.9022E-01    3.1817
    60.00  0.5129E+00  0.5031E-01  -.3555E+00  -.5419E-01    3.6462
    65.00  0.3387E+00  0.4353E-01  -.2455E+00  -.3262E-01    4.1348
    70.00  0.2165E+00  0.3573E-01  -.1631E+00  -.1937E-01    4.6437
    75.00  0.1350E+00  0.2761E-01  -.1051E+00  -.1133E-01    5.1690
    80.00  0.8221E-01  0.2008E-01  -.6575E-01  -.6480E-02    5.7067
    85.00  0.4979E-01  0.1387E-01  -.4064E-01  -.3640E-02    6.2528
    90.00  0.3032E-01  0.9188E-02  -.2504E-01  -.2006E-02    6.8031
    95.00  0.1841E-01  0.5871E-02  -.1521E-01  -.1068E-02    7.3534
   100.00  0.1131E-01  0.3695E-02  -.9187E-02  -.5354E-03    7.8995
   105.00  0.7077E-02  0.2370E-02  -.5546E-02  -.2280E-03    8.4372
   110.00  0.4607E-02  0.1650E-02  -.3396E-02  -.4366E-04    8.9625
   115.00  0.3118E-02  0.1313E-02  -.2105E-02  0.7748E-04    9.4714
   120.00  0.2196E-02  0.1204E-02  -.1322E-02  0.1638E-03    9.9600
   125.00  0.1604E-02  0.1216E-02  -.8389E-03  0.2273E-03   10.4245
   130.00  0.1208E-02  0.1284E-02  -.5368E-03  0.2732E-03   10.8615
   135.00  0.9461E-03  0.1372E-02  -.3469E-03  0.3002E-03   11.2676
   140.00  0.7491E-03  0.1456E-02  -.2223E-03  0.3102E-03   11.6397
   145.00  0.6095E-03  0.1528E-02  -.1411E-03  0.3042E-03   11.9750
   150.00  0.4998E-03  0.1581E-02  -.8715E-04  0.2845E-03   12.2709
   155.00  0.4243E-03  0.1616E-02  -.5139E-04  0.2535E-03   12.5253
   160.00  0.3660E-03  0.1637E-02  -.2796E-04  0.2135E-03   12.7360
   165.00  0.3224E-03  0.1653E-02  -.1337E-04  0.1664E-03   12.9017
   170.00  0.2936E-03  0.1667E-02  -.5104E-05  0.1140E-03   13.0209
   175.00  0.2773E-03  0.1678E-02  -.1137E-05  0.5791E-04   13.0928


 EGEQ(LAB)= 355.00   EG*(LAB)= 372.76 MEV   QI=436.83 MEV   QF=288.31 MEV
 W3He(MEV)=3149.868   EG*(CM)= 301.364   EPI(CM)= 320.331   Q2GEV=   0.100
    angle   ds/dO(T)    ds/dO(L)     ds/dO(TT)   ds/dO(LT)   Q2(fm-2)
     0.00  0.4379E+01  0.6036E+01  -.1482E-08  -.6140E-04    0.5665
     5.00  0.4293E+01  0.5681E+01  -.1073E+00  -.5168E+00    0.5911
    10.00  0.4069E+01  0.4743E+01  -.3711E+00  -.9230E+00    0.6647
    15.00  0.3769E+01  0.3521E+01  -.6712E+00  -.1134E+01    0.7869
    20.00  0.3429E+01  0.2338E+01  -.9113E+00  -.1132E+01    0.9566
    25.00  0.3052E+01  0.1401E+01  -.1051E+01  -.9765E+00    1.1725
    30.00  0.2633E+01  0.7651E+00  -.1085E+01  -.7532E+00    1.4331
    35.00  0.2192E+01  0.3905E+00  -.1033E+01  -.5349E+00    1.7363
